	14517X1	14517X2	14517X3	14517X10	14517X11	14517X12
YOR351C	6	9	1	11	14	11
YOR352W	364	235	174	364	308	319
YOR353C	432	309	319	616	663	666
YOR354C	1033	829	840	951	860	841
YOR355W	1706	1172	1081	681	677	630
YOR356W	616	470	398	155	178	144
YOR357C	366	319	255	507	482	427
YOR358W	208	179	127	235	208	178
YOR359W	137	128	226	266	284	336
YOR360C	814	626	774	932	1207	1366
YOR361C	4638	3972	3661	3538	3663	3613
YOR362C	2708	2206	2140	2561	2515	2329
YOR363C	468	362	344	610	567	505
YOR365C	12	13	8	11	12	12
YOR367W	399	326	323	378	377	337
YOR368W	220	168	135	270	215	166
YOR369C	17442	15530	15982	5767	5433	4950
YOR370C	1748	1231	1225	1605	1777	1711
YOR371C	515	449	458	663	621	603
YOR372C	528	446	398	659	718	707
YOR373W	230	198	266	437	432	433
YOR374W	2194	1474	498	2787	1767	1513
YOR375C	2323	1872	1684	968	1005	903
YOR376W-A	76	66	25	81	54	46
YOR377W	1012	758	732	1754	1781	1823
YOR378W	43	22	31	50	44	41
YOR380W	207	168	142	260	280	253
YOR381W	164	149	174	414	393	438
YOR381W-A	6	3	4	3	4	10
YOR382W	417	351	332	6154	6886	6084
YOR383C	923	758	642	12303	11864	10304
YOR384W	27	14	14	460	393	457
YOR385W	2926	2851	4433	2855	2824	2402
YOR386W	422	324	277	436	331	302
YOR387C	1	0	0	2	1	1
YOR388C	0	0	0	0	0	0
YOR389W	105	59	70	199	199	216
YOR390W	39	15	38	17	25	22
YOR391C	0	0	1	0	2	0
YOR393W	0	0	0	0	0	0
YOR394W	0	0	0	0	0	0
YOR394C-A	0	0	0	0	0	0
YOR396W	0	0	0	0	0	0
YPL283C	0	0	0	0	0	0
YPL282C	0	0	0	0	0	0
YPL281C	0	0	0	0	0	0
YPL280W	0	0	0	0	0	0
